"Pityriasis Rosea","The symptoms of this condition include:An upper respiratory tract infection may precede all other symptoms in as many as 69% of patients.A single, 2- to (rarely) 10-cm oval red  herald  patch appears, classically on the abdomen. Occasionally, the  herald  patch may occur in a 'hidden' position (in the armpit, for example) and not be noticed immediately. The  herald  patch may also appear as a cluster of smaller oval spots, and be mistaken for acne. Rarely, it does not become present at all.7–14 days after the herald patch, many small (5-10 mm) patches of pink or red, flaky, oval-shaped rash appear on the torso. In 6% of cases an inverse distribution may occur, with rash mostly on the extremities. The more numerous oval patches generally spread widely across the chest first, following the rib-line in a characteristic  christmas-tree  distribution. Small, circular patches may appear on the back and neck several days later. It is unusual for lesions to form on the face, but they may appear on the cheeks or at the hairline.About one in four people with PR suffer from mild to severe symptomatic itching. (Moderate itching due to skin over-dryness is much more common, especially if soap is used to cleanse the affected areas.) The itching is often non-specific, and worsens if scratched. This tends to fade as the rash develops and does not usually last through the entire course of the disease.The rash may be accompanied by low-grade fever, headache, nausea and fatigue. Over-the-counter medications can help manage these."
"Echinostomiasis","na"
"Pleurodynia","Symptoms may include fever and headache, but the distinguishing characteristic of this disease is attacks of severe pain in the lower chest, often on one side. The slightest movement of the rib cage causes a sharp increase of pain, which makes it very difficult to breathe, and an attack is therefore quite a frightening experience, although it generally passes off before any actual harm occurs. The attacks are unpredictable and strike  out of the blue  with a feeling like an iron grip around the rib cage. The colloquial names for the disease, such as 'The Devil's grip' (see also  other names  below) reflect this symptom."
"Mycobacteriosis-ulcerans","After inoculation into the skin, M. ulcerans proliferates extracellular and elaborates a toxin, mycolactone, that enters the cells and causes necrosis of the dermis, panniculus, and deep fascia. Early lesions are closed, but as the necrosis spreads, the overlying dermis and epidermis eventually ulcerate, with undermined edges and a necrotic slough in the base of the ulcer. Histopathologic sections reveal a contiguous coagulation necrosis of the deep dermis and panniculus, with destruction of nerves, appendages, and blood vessels. Interstitial edema is noted. Clumps of extracellular acid-fast bacilli are plentiful and are frequently limited to the base of the ulcer and adjacent necrotic subcutaneous tissue. Bone is sometimes involved, and specific osteomyelitis is well known. Histologically there may be local and regional lymphadenitis with invasion by M. ulcerans. In active lesions, inflammatory cells are conspicuously few, presumably as a result of the immunosuppressive activity of the toxin. With healing, there is a granulomatous response, and the ulcerated area is eventually replaced by a depressed scar. HIV infection does not seem to predispose to Buruli ulcer but may facilitate dissemination of M. ulcerans.The major virulence determinant in M. ulcerans is a polyketide-derived macrolide: mycolactone. Mycolactone was originally isolated from M. ulcerans 1615, a Malaysian isolate, as a mixture of cis/trans isomers designated mycolactone A and mycolactone B. Identical molecules were also found to be present in two M. ulcerans isolates from the Democratic Republic of Congo. More recent evidence shows that M. ulcerans 1615 produces a family of mycolactone congeners which differ primarily in the number of hydroxyl groups and double bonds.Mycolactone appears to play a key role in the pathogenesis of Buruli ulcer. In vivo studies using a guinea pig model of infection suggest that mycolactone is responsible for both the extensive tissue damage and immunosuppression which accompanies Buruli ulcer. The activity of mycolactone on cultured fibroblasts and macrophage cell lines produces a distinct cytopathic phenotype. The earliest effect is cell rounding, which occurs within 10 h after addition of mycolactone to cultured cells. At 36 h, treated cells are arrested in G1 of the cell cycle, and by 72 h, cells begin to die via apoptosis.Bacterial macrolides are produced as secondary metabolites by soil bacteria, particularly bacteria such as Streptomyces and Saccharopolyspora species in the order Actinomycetales. Interestingly, a number of related macrolides or congeners are often produced by a single bacterial isolate."
"Brucellosis","The symptoms are like those associated with many other febrile diseases, but with emphasis on muscular pain and sweating. The duration of the disease can vary from a few weeks to many months or even years. In the first stage of the disease, septicaemia occurs and leads to the classic triad of undulant fevers, sweating (often with characteristic smell, likened to wet hay), and migratory arthralgia and myalgia (joint and muscle pain). Blood tests characteristically reveal leukopenia and anemia, show some elevation of AST and ALT, and demonstrate positive Bengal Rose and Huddleston reactions.This complex is, at least in Portugal, known as Malta fever. During episodes of Malta fever, melitococcemia (presence of brucellae in blood) can usually be demonstrated by means of blood culture in tryptose medium or Albini medium. If untreated, the disease can give origin to focalizations or become chronic. The focalizations of brucellosis occur usually in bones and joints and spondylodiscitis of lumbar spine accompanied by sacroiliitis is very characteristic of this disease. Orchitis is also frequent in men.Diagnosis of brucellosis relies on:The disease's sequelae are highly variable and may include granulomatous hepatitis, arthritis, spondylitis, anaemia, leukopenia, thrombocytopenia, meningitis, uveitis, optic neuritis, endocarditis, and various neurological disorders collectively known as neurobrucellosis."
"Yellow Fever","Yellow fever begins after an incubation period of three to six days. Most cases only cause a mild infection with fever, headache, chills, back pain, loss of appetite, nausea, and vomiting. In these cases the infection lasts only three to four days.In fifteen percent of cases, however, sufferers enter a second, toxic phase of the disease with recurring fever, this time accompanied by jaundice due to liver damage, as well as abdominal pain. Bleeding in the mouth, the eyes, and the gastrointestinal tract will cause vomit containing blood (hence the Spanish name for yellow fever, vomito negro ( black vomit )). The toxic phase is fatal in approximately 20% of cases, making the overall fatality rate for the disease 3% (15% * 20%). In severe epidemics, the mortality may exceed 50%.Surviving the infection provides lifelong immunity, and normally there is no permanent organ damage."
"Liver abscess-bacterial","na"
"Taeniasis","na"
"Western Equine Encephalitis","na"
"Tenapox Virus Disease","The incubation period in human cases remains unknown, but in a person who underwent voluntary inoculation, erythema and central thickening appear by the fourth day. Most patients present a mild pre-eruptive fever that lasts 3–4 days, severe headaches and backaches, and often itching at the site where the skin lesion develops.There is initially a small nodule, without any central abrasion. This small nodule soon becomes papular and gradually enlarges to reach a maximum diameter of about 15 mm by the end of the second week of infection. The draining lymph nodes are also enlarged and tender from about the fifth day following the appearance of the skin lesion. The lesion remains mostly nodular but, ulcerates during the third week and then gradually heals within 5 to 6 weeks, leaving a scar.In Kenya, the lesions were almost always solitary and were found on the upper arm, face, neck, and truck. Conversely, in Zaire, 22% of patients had multiple lesions, usually two or three. The maximum number of lesions seen in one patient was ten. In the case of Zairian patients, the lesions were mostly found on the lower limbs, with a couple of patients reporting lesions on the upper limbs, trunk, and head."
"Escherichia coli diarrhea","Because enterotoxic E. coli strains are non-invasive, they do not cause inflammation. Infection with ETEC can cause profuse watery diarrhea with no blood nor leukocytes and abdominal cramping. Fever, nausea with or without vomiting, chills, loss of appetite, headache, muscle aches and bloating can also occur but are less common."
"Rift Valley Fever","In humans, the virus can cause several syndromes. Usually, sufferers have either no symptoms or only a mild illness with fever, headache, myalgia and liver abnormalities. In a small percentage of cases (< 2%), the illness can progress to hemorrhagic fever syndrome, meningoencephalitis (inflammation of the brain), or affecting the eye. Patients who become ill usually experience fever, generalized weakness, back pain, dizziness, and weight loss at the onset of the illness. Typically, patients recover within two to seven days after onset.About 1% of human sufferers die of the disease. In livestock, the fatality level is significantly higher. Pregnant livestock infected with RVF abort virtually 100% of fetuses. An epizootic (animal disease epidemic) of RVF is usually first indicated by a wave of unexplained abortions.Other signs in livestock include vomiting and diarrhoea, respiratory disease, fever, lethargy, anorexia and sudden death in young animals.Diagnosis relies on viral isolation from tissues, or serological testing with an ELISA."
"Mumps","A physical examination confirms the presence of the swollen glands. Usually, the disease is diagnosed on clinical grounds, and no confirmatory laboratory testing is needed. If there is uncertainty about the diagnosis, a test of saliva or blood may be carried out; a newer diagnostic confirmation, using real-time nested polymerase chain reaction (PCR) technology, has also been developed. An estimated 20%-30% of cases are asymptomatic. As with any inflammation of the salivary glands, serum amylase is often elevated."
"Loiasis","Filariasis such as loiasis most often consists of asymptomatic microfilaremia. Some patients develop lymphatic dysfunction causing lymphedema. Episodic angioedema (Calabar swellings) in the arms and legs, caused by immune reactions are common. When chronic, they can form cyst-like enlargements of the connective tissue around the sheaths of muscle tendons, becoming very painful when moved. The swellings may last for 1–3 days, and may be accompanied by localized urticaria (skin eruptions) and pruritus (itching). Subconjunctival migration of an adult worm to the eyes can also occur frequently, and this is the reason Loa loa is also called the  African eye worm.  The passage over the eyeball can be sensed, but it usually takes less than 15 min. Gender incidence of eyeworms have approximately the same frequency, but it tends to increase with age. Eosinophilia is often prominent in filarial infections. Dead worms may cause chronic abscesses, which may lead to the formation of granulomatous reactions and fibrosis."
"Hendra Virus Disease","na"
"Bartonellosis-other systemic","na"
"Penicilliosis","Diagnosis is usually made by identification of the fungi from clinical specimens. Biopsies of skin lesions, lymph nodes, and bone marrow demonstrate the presence of organisms on histopathology.The most common symptoms are fever, skin lesions, anemia, generalized lymphadenopathy, and hepatomegaly."
"Mycroplasma pneumoniae infection","M. pneumoniae infections can be differentiated from other types of pneumonia by the relatively slow progression of symptoms. A positive blood test for cold-hemagglutinins in 50-70% of patients after 10 days of infection (cold-hemagglutinin-test should be used with caution or not at all, since 50% of the tests are false-positive), lack of bacteria in a gram-stained sputum sample, and a lack of growth on blood agar.PCR has also been used."
"Scarlet Fever","Scarlet fever is characterized by:Sore throatFeverBright red tongue with a  strawberry  appearanceForchheimer spots (fleeting small, red spots on the soft palate) may occurCharacteristic rash:
the rash is fine, red and rough-textured
blanches upon pressure
appears 12–72 hours after the fever
generally starts on the chest, armpits and behind the ears. It may also involve the groin.
the face often shows red cheeks and a characteristic pale area around the mouth (circumoral pallor)
is worse in the skin folds. These Pastia lines (where the rash runs together in the armpits and groin) appear and can persist after the rash is gone.
may spread to cover the uvula
begins to fade three to four days after onset and desquamation (peeling) begins.  This phase begins with flakes peeling from the face. Peeling from the palms and around the fingers occurs about a week later.  Peeling also occurs in axilla, groin and tips of the fingers and toes.
The rash is the most striking sign of scarlet fever. It usually begins looking like a bad sunburn with tiny bumps and may itch. The rash usually appears first on the neck and face, often leaving a clear unaffected area around the mouth. It then spreads to the chest and back and finally to the rest of the body. In the body creases, especially around the axillae (underarms) and elbows, the rash forms the classic red streaks known as Pastia lines. On very dark skin, the streaks may appear darker than the rest of the skin. Areas of rash usually turn white (or paler brown, with dark complected skin) when pressed on. By the sixth day of the infection, the rash usually fades, but the affected skin may begin to peel.Usually there are other symptoms that help to confirm a diagnosis of scarlet fever, including a reddened sore throat, a fever at or above 101 °F (38.3 °C), and swollen glands in the neck. Scarlet fever can also occur with a low fever. The tonsils and back of the throat may be covered with a whitish coating, or appear red, swollen, and dotted with whitish or yellowish specks of pus. Early in the infection, the tongue may have a whitish or yellowish coating. Also, an infected person may have chills, body aches, nausea, vomiting, and loss of appetite.In rare cases, scarlet fever may develop from a streptococcal skin infection like impetigo. In these cases, the person may not get a sore throat.When scarlet fever occurs because of a throat infection, the fever typically stops within 3 to 5 days, and the sore throat passes soon afterward. The scarlet fever rash usually fades on the sixth day after sore throat symptoms started, and begins to peel (as above). The infection itself is usually cured with a 10-day course of antibiotics, but it may take a few weeks for tonsils and swollen glands to return to normal."
"Orf","na"
"Bas-Congo Virus","The disease associated with Bas-Congo virus is a severe acute hemorrhagic fever characterized by rapid disease progression. However, there are clues to asymptomatic infections as well. The onset is sudden, symptoms include high fever, malaise, nausea, vomiting, diarrhea, abdominal pain, headache and fatigue. Bleedings appear very early in the course of the disease, including nose bleeding, mouth bleeding and hematemesis. In the 2009 outbreak, death occurred two or three days after the onset of symptoms.The first patient in Malaga village was a 15-year-old boy attending the local school. He died two days after he became ill. A 13-year-old girl attending the same school developed symptoms a few days later and died three days thereafter. The two students were in different classes and had no evident personal contact in the weeks before the outbreak. The source of primary infection remains unknown. A male nurse working in the local health center visited by the first victims showed signs of the disease 9 days after the girl's death. This indicates human-to-human transmission of BASV through body fluids and close contact; transmission through aerosol would most likely result in more cases.A fourth person directly caring for the nurse developed antibodies against BASV but remained asymptomatic."
"Herpes B Infection","na"
"Echinococcosis-multilocular","na"
"Cutaneous larva migrans","The infection causes a red, intensely pruritic (itchy) eruption. The itching can become very painful and if scratched may allow a secondary bacterial infection to develop. Cutaneous larva migrans usually heals spontaneously over weeks to months and has been known to last as long as one year. However, the severity of the symptoms usually causes those infected to seek medical treatment before spontaneous resolution occurs. Following proper treatment, migration of the larvae within the skin is halted and relief of the associated itching can occur in less than 48 hours (reported for thiabendazole)."
"Sennetsu neorickettsiosis","na"
"Rhinoscleroma and Ozena","Rhinoscleroma has been divided into 3 stages: catarrhal/atrophic, granulomatous, and sclerotic stages. The catarrhal stage begins with a nonspecific rhinitis, which progresses into purulent, fetid rhinorrhea, and crusting, which can last for weeks or even months. The granulomatous stage results in the development of a bluish red nasal mucosa and the development of intranasal rubbery nodules or polyps. Epistaxis, nasal deformity, and destruction of the nasal cartilage are also noted (Hebra nose). The damage may result in anesthesia of the soft palate, enlargement of the uvula, dysphonia, and various degrees of airway obstruction. The fibrotic stage is characterized by sclerosis and fibrosis.lymphadenitis are absent."
"Relapsing Fever","Most people who are infected develop sickness between 5 and 15 days after they are bitten. The symptoms may include a sudden fever, chills, headaches, muscle or joint aches and nausea. A rash may also occur. These symptoms usually continue for between 2 to 9 days, then disappear. This cycle may continue for several weeks if the person is not treated. Relapsing fever is easily treated with a one-to-two week course of antibiotics and most people improve within 24 hours commencement. Complications and death due to relapsing fever are rare.Relapsing fever is a candidate etiology for a mysterious series of plagues in late-medieval and early-renaissance England. At the time, they were called sweating sicknesses. They have not recurred in epidemic form since the 16th century.The diagnosis of relapsing fever can be made on blood smear as evidenced by the presence of spirochetes. Other spirochete illnesses (lymes, syphilis, leptospirosis) do not show spirochetes on blood smear."
"Opisthorchiasis","Symptoms of opisthorchiasis (caused by Opisthorchis spp.) are indistinguishable from clonorchiasis (caused by Clonorchis sinensis), so the disease should be referred as clonorchiasis.About 80% of infected people have no symptoms, though they can have eosinophilia. This is when the infection is weak and there are less than 1000 eggs in one gram in feces.When there are 10.000-30.000 eggs in one gram of feces, then the infection is heavy. Symptoms of heavier infections with Opisthorchis viverrini may include: diarrhoea, pain in epigastric and pain in the upper right quadrant, lack of appetite (anorexia), fatigue, yellowing of the eyes and skin (jaundice) and mild fever.These parasites are long-lived and cause heavy chronic infections may led to accumulation of fluid in legs (edema) and in the peritoneal cavity (ascites), enlarged non-functional gall-bladder and also cholangitis, which can lead to periductal fibrosis, cholecystitis and cholelithiasis, obstructive jaundice, hepatomegaly and/or fibrosis of the periportal system.Importantly, both experimental and epidemiological evidence strongly implicates Opisthorchis viverrini infections in the etiology of a malignant cancer of the bile ducts (cholangiocarcinoma) in humans which has a very poor prognosis. Indeed, Clonorchis sinensis and Opisthorchis viverrini are both categorized by the International Agency for Research on Cancer (IARC) as Group 1 carcinogens.In humans, the onset of cholangiocarcinoma occurs with chronic opisthorchiasis, associated with hepatobiliary damage, inflammation, periductal fibrosis and/or cellular responses to antigens from the infecting fluke. These conditions predispose to cholangiocarcinoma, possibly through an enhanced susceptibility of DNA to damage by carcinogens. Chronic hepatobiliary damage is reported to be multi-factorial and considered to arise from a continued mechanical irritation of the epithelium by the flukes present, particularly via their suckers, metabolites and excreted/secreted antigens as well as immunopathological processes. In regions where Opisthorchis viverrini is highly endemic, the incidence of cholangiocarcinoma is unprecedented. For instance, cholangiocarcinomas represent 15% of primary liver cancer worldwide, but in Thailand's Khon Kaen region, this figure escalates to 90%, the highest recorded incidence of this cancer in the world. Of all cancers worldwide from 2002, 0.02% were cholangiocarcinoma caused by Opisthorchis viverrini.The cancer of the bile ducts caused by opisthorchiasis occur in the ages 25–44 years in Thailand."
"Schistosomiasis-haematoblum","The majority of diagnoses are made by examination of the urine for eggs. In chronic infections, or if eggs are difficult to find, an intradermal injection of schistosome antigen to form a wheal is effective in determining infection. Alternate diagnosis can be made by complement fixation tests."
"Bacillus Cereus Food Poisoning","na"
"Tungiasis","The symptoms of this disease include:Severe pruritusPainInflammation and swellingLesions and ulcerations, with black dots in the centerLeft untreated, secondary infections, such as bacteremia, tetanus, and gangrene, can occur."
"Rubella ","Rubella have symptoms that are similar to those of flu. However, the primary symptom of rubella virus infection is the appearance of a rash (exanthem) on the face which spreads to the trunk and limbs and usually fades after three days (that is why it is often referred to as three-day measles). The facial rash usually clears as it spreads to other parts of the body. Other symptoms include low grade fever, swollen glands (sub occipital & posterior cervical lymphadenopathy), joint pains, headache and conjunctivitis.The swollen glands or lymph nodes can persist for up to a week and the fever rarely rises above 38 oC (100.4 oF). The rash of German measles is typically pink or light red. The rash causes itching and often lasts for about three days. The rash disappears after a few days with no staining or peeling of the skin. When the rash clears up, the skin might shed in very small flakes where the rash covered it. Forchheimer's sign occurs in 20% of cases, and is characterized by small, red papules on the area of the soft palate.Rubella can affect anyone of any age and is generally a mild disease, rare in infants or those over the age of 40. The older the person is the more severe the symptoms are likely to be. Up to two-thirds of older girls or women experience joint pain or arthritic type symptoms with rubella.Rubella can cause congenital rubella syndrome in the newly born. The syndrome (CRS) follows intrauterine infection by the Rubella virus and comprises cardiac, cerebral, ophthalmic and auditory defects. It may also cause prematurity, low birth weight, and neonatal thrombocytopenia, anaemia and hepatitis. The risk of major defects or organogenesis is highest for infection in the first trimester. CRS is the main reason a vaccine for rubella was developed.Many mothers who contract rubella within the first critical trimester either have a miscarriage or a still born baby. If the baby survives the infection, it can be born with severe heart disorders (Patent ductus arteriosus being the most common), blindness, deafness, or other life threatening organ disorders. The skin manifestations are called  blueberry muffin lesions . For these reasons, Rubella is included on the TORCH complex of perinatal infections."
"O'nyong nyong","Common symptoms of infection with the virus are polyarthritis, rash and fever. Other symptoms include eye pain, chest pain, lymphadenitis and lethargy. No fatalities due to infection are known."
"Botulism","The muscle weakness of botulism characteristically starts in the muscles supplied by the cranial nerves. A group of twelve nerves controls eye movements, the facial muscles and the muscles controlling chewing and swallowing. Double vision, drooping of both eyelids, loss of facial expression and swallowing problems may therefore occur, as well as difficulty with talking. The weakness then spreads to the arms (starting in the shoulders and proceeding to the forearms) and legs (again from the thighs down to the feet).Severe botulism leads to reduced movement of the muscles of respiration, and hence problems with gas exchange. This may be experienced as dyspnea (difficulty breathing), but when severe can lead to respiratory failure, due to the buildup of unexhaled carbon dioxide and its resultant depressant effect on the brain. This may lead to coma and eventually death if untreated.In addition to affecting the voluntary muscles, it can also cause disruptions in the autonomic nervous system. This is experienced as a dry mouth and throat (due to decreased production of saliva), postural hypotension (decreased blood pressure on standing, with resultant lightheadedness and risk of blackouts), and eventually constipation (due to decreased peristalsis). Some of the toxins (B and E) also precipitate nausea and vomiting.Clinicians frequently think of the symptoms of botulism in terms of a classic triad: bulbar palsy and descending paralysis, lack of fever, and clear senses and mental status ( clear sensorium ).[self-published source?]Infant botulism was first recognized in 1976, and is the most common form of botulism in the United States. There are 80 to 100 diagnosed cases of infant botulism in the United States each year. Infants are susceptible to infant botulism in the first year of life, with more than 90% of cases occurring in infants younger than six months. Infant botulism results from the ingestion of the C. botulinum spores, and subsequent colonization of the small intestine. The infant gut may be colonized when the composition of the intestinal microflora (normal flora) is insufficient to competitively inhibit the growth of C. botulinum and levels of bile acids (which normally inhibit clostridial growth) are lower than later in life.The growth of the spores releases botulinum toxin, which is then absorbed into the bloodstream and taken throughout the body, causing paralysis by blocking the release of acetylcholine at the neuromuscular junction. Typical symptoms of infant botulism include constipation, lethargy, weakness, difficulty feeding and an altered cry, often progressing to a complete descending flaccid paralysis. Although constipation is usually the first symptom of infant botulism, it is commonly overlooked.Honey is the only known dietary reservoir of C. botulinum spores linked to infant botulism. For this reason honey should not be fed to infants less than one year of age. Other cases of infant botulism are thought to be caused by acquiring the spores from the natural environment. Clostridium botulinum is a ubiquitous soil-dwelling bacterium. Many infant botulism patients have been demonstrated to live near a construction site or an area of soil disturbance.Infant botulism has been reported in 49 of 50 US states, and cases have been recognized in 26 countries on five continents.Infant botulism has no long-term side effects, but can be complicated by nosocomial adverse events. The case fatality rate is less than 1% for hospitalized infants with botulism.Botulism can result in death due to respiratory failure. However, in the past 50 years, the proportion of patients with botulism who die has fallen from about 50% to 7% due to improved supportive care. A patient with severe botulism may require mechanical ventilation (breathing support through a ventilator) as well as intensive medical and nursing care, sometimes for several months. Patients who survive an episode of botulism poisoning may have fatigue and shortness of breath for years and long-term therapy may be needed to aid their recovery."
"Mansonelliasis-M. Perstans","na"
"Alkhurma Hemorrhagic Fever","na"
"Dracunculiasis","As the worm moves downwards, usually to the lower leg, through the subcutaneous tissues it leads to intense pain localized to its path of travel. The painful, burning sensation experienced by infected people has led to the disease being called  the fiery serpent . Other symptoms include fever, nausea, and vomiting."
