,Trypanosomiasis-American,Omsk Hemorrhagic Fever,Dermatophytosis,Bartontellosis -cat borne,Hymenolepis diminuta infection,Schistosomiasis-intercalctum,St Louis Encephalitis,Pityriasis Rosea,Pleurodynia,Mycobacteriosis-ulcerans,Brucellosis,Yellow Fever,Tenapox Virus Disease,Escherichia coli diarrhea,Rift Valley Fever,Mumps,Loiasis,Penicilliosis,Mycroplasma pneumoniae infection,Scarlet Fever,Bas-Congo Virus,Cutaneous larva migrans,Rhinoscleroma and Ozena,Relapsing Fever,Opisthorchiasis,Schistosomiasis-haematoblum,Tungiasis,Rubella ,O'nyong nyong,Botulism,Dracunculiasis,Staphylococcal Scalded Skin infection,Cholera,Dioctophyme renalis infection,West Nile Fever,Pneumoncystis Pneumonia,Staphylococcal Food Poisoning,SARS,Cryptococcosis,Clostridial myonecrosis,Whipple's Disease,Human Herpesvirus 6 infection,Septicemia-bacterial,Parainfluenza Virus Infection,Zika,Onchoceriasis,Trypanosomiasis-African,Sarcocytosis,Toxoplasmosis,Endocarditis -infectious,Paracoccidioidomycosis,Colorado Tick Fever,Trichuriasis,Common Cold,Capillariasis-intestinal,Lymphogranuloma Venereum,Fascioliasis,Lyme Disease,Murray Valley Encephalitis,Leprosy,Rocky Mountain Spotted Fever,Brain Abscess,Babesiosis,Crimean Congo Hemorrhagic Fever,Anthrax,Coccidioidomycosis,Thelaziasis,Syphillis,Malaria,Vibrio Parahaemolyticus Infection,Herpes Simplex Encephalitis,Paragonimiasis,Endemic syphilis (bejel),Campylobacteriosis,Listeriosis,Trichinosis,Smallpox,Varicella,Dicrocoeliasis,Leptospirosis,AIDS,Bacillary Angiomatosis,Schistosomiasis-Mansoni,Fasciolopsiasis,Adenovirus Infection,Gonococcal Infection,Erysipelas or Cellulitis,Infectious mononucleosis or EBV infection,Lobomycosis,Pertussis,Clostridium difficile colitis,Typhus-Epidemic,Trachoma,Rat Bite Fever-Streptobacillary,Sparganosis,Ross River Disease,Gianotti-Crosti Syndrome,Respiratory Syncytial virus Infection,Angiostrongyliasis,Tropical Sprue,Candidiasis,Ehrlichiosis-human monocytic,MERS Coronavirus infection,Eastern Equine Encephalitis,Yersiniosis,Enterobiasis,Cryptosporidiosis,Tetanus,New World Phleboviruses,Trichostrongyliasis,Legionellosis,Metagonimiasis,Erythrasma,Sporotrichosis,Tropical Pulmonary Eosinophilia,Salmonellosis,Barmah Forest disease,Meliodosis,Ascariasis,Rotavirus Infection,Leishmaniasis -cutaneous,Rickettsialpox,Mayaro,Malignant Otitis Externa,Toxocariasis,Hantavirus pulmonary syndrome,Argentine Hemorrhagic Fever,Japanese Encephalitis,Necrotizing skin/soft tissue infection,Ebola,Parvovirus B19 Infection,Rheumatic Fever,Actinomycosis,Tuberculosis,Gastroenteritis-viral,Typhoid and Enteric Fever,Dengue,Cholecystitis and cholangitis,Granuloma inguinale,Rabies,Strongyloidiasis,Myalgic encephalitis,Bacterial Vaginosis,Trichomoniasis,Histoplasmosis,Streptococcus Suis Infection,Chronic Meningococcemia,Marburg Virus Disease,Powassan,Pyomyositis,Toxic Shock Syndrome,Chlamydia infections,Intestinal spirochetosis,Anaplasmosis,Rhinospiridosis,Poliomyelitis,Laryngotracheobronchitis,Sinusitis,Pythiosis,Intracranial venous thrombosis,Perirectal Abscess,Typhus-endemic,Pericarditis-Bacterial,Hepatitis E,Giardiasis,Hepatitis A,Hepatitis B,Hepatitis C,Oropouche,Tropical Phagedenic Ulcer,Balantidiasis,Kyasanur Forest Disease,hymenolepis nana infection,Chikungunya,Scabies,Herpes Zoster,Monkeypox,California encephalitis Group,Aspergillosis,Typhus-Scrub,Rat Bite Fever-Spirillary,Tick-borne Encephalitis,Nocardiosis,Herpes Simplex Infection,Enteritis necroticans,Chancroid,Mammomonogamiasis,Leishmaniasis-visceral,Reye's Syndrome,Diphylloborthriasis,Influenza,Otitis Media,Orbital and Eye Infections,Venezuelan Hemorrhagic Fever,Hookworm,Urinary Tract Infection,blastomycosis,Viliuisk Encephalomyelitis,Myiasis,Q-Fever,Meningitis -aseptic (viral),Ornithosis,Oseophagostomiasis,Gnathostomiasis,Chromomycosis,Peritonitis-Bacterial,Meningitis-bacterial,Pinta,Blastocystis hominis infection,Amoebic colitis,Cysticercosis,Mycobacteriosis-miscellaneous nontuberculous,Schistosomiasis-japonicum,Shingellosis,Osteomyelitis,Septic arthritis
arthralgia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arthritis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
asthma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azotemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backache,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basilar arachnoiditis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biliary disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biliary symptomology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bloating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bloody sputum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
