name,repoURL,sourceURL,wgetURL,have,source,newCategories,categories,scope,eTag,lastModifiedDateInSource,geoResolution,startDate,endDate,timeResolution,rasterized,fileType,fileSize,internalLocation,ckanURL,notes
Geonames Data,http://www.geonames.org/export/,http://download.geonames.org/export/dump/,http://download.geonames.org/export/dump/allCountries.zip,yes,Geonames,,,Global,,,,,,,no,zip,236,CKAN,http://data.ecohealth.io/dataset/geonames-data,
Global Alternative and Nuclear Energy ( % of energy use ) ,http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/EG.USE.COMM.CL.ZS,http://api.worldbank.org/v2/en/indicator/eg.use.comm.cl.zs?downloadformat=csv,yes,World Bank ,Technology and Industry,Energy,Global,,,,1961,2012,52,no,csv,0.2,CKAN,http://data.ecohealth.io/dataset/global-alternative-and-nuclear-use-of-energy-use,
Global Arable Land ( % of land area ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/AG.LND.ARBL.ZS,http://api.worldbank.org/v2/en/indicator/ag.lnd.arbl.zs?downloadformat=csv,yes,World Bank ,"Changing Ecosystems , War and Famine","Land Use / Land Cover,Food Security",Global,,,,1961,2011,50,no,csv,0.264,CKAN,http://data.ecohealth.io/dataset/global-arable-land-of-land-area,
Global Arable Land ( hectares per person ) ,http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/AG.LND.ARBL.HA.PC,http://api.worldbank.org/v2/en/indicator/ag.lnd.arbl.ha.pc?downloadformat=csv,yes,World Bank ,"Changing Ecosystems , War and Famine","Land Use / Land Cover,Food Security",Global,,,,1961,2011,50,no,csv,0.281,CKAN,http://data.ecohealth.io/dataset/global-arable-land-hectares-per-person,
Global Average Number of times spent in meeting with tax officials ,http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IC.TAX.METG,,yes,World Bank ,Economy,Economy,Global,,,,2002,2010,8,no,csv,0.106,CKAN,http://data.ecohealth.io/dataset/global-average-number-of-times-firms-spent-in-meeting-with-tax-officials,
Global Cash Surplus/Deficit ( % of GDP ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/GC.BAL.CASH.GD.ZS,http://api.worldbank.org/v2/en/indicator/gc.bal.cash.gd.zs?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,1990,2011,21,no,csv,0.133,CKAN,http://data.ecohealth.io/dataset/global-cash-surplus-deficit-of-gdp,
"Global Central Government Debt, total ( % of GDP )",http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/GC.DOD.TOTL.GD.ZS,http://api.worldbank.org/v2/en/indicator/gc.dod.totl.gd.zs?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,1990,2011,21,no,csv,0.122,CKAN,http://data.ecohealth.io/dataset/global-central-government-debt-total-of-gdp,
Global Cereal Yield ( kg per hectare ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/AG.YLD.CREL.KG,http://api.worldbank.org/v2/en/indicator/ag.yld.crel.kg?downloadformat=csv,yes,World Bank ,"Changing Ecosystems , War and Famine","Land Use / Land Cover,Food Security",Global,,,,1961,2012,51,no,csv ,0.185,CKAN,http://data.ecohealth.io/dataset/global-cereal-yield-kg-per-hectare,
Global Combustible Renewables and Waste ( % of total energy ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/EG.USE.CRNW.ZS,http://api.worldbank.org/v2/en/indicator/eg.use.crnw.zs?downloadformat=csv,yes,World Bank ,Technology and Industry,Energy,Global,,,,1961,2012,52,no,csv ,0.2,CKAN,http://data.ecohealth.io/dataset/global-combustible-renewables-and-waste-of-total-energy,
Global Crop Production Index,http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/AG.PRD.CROP.XD,http://api.worldbank.org/v2/en/indicator/ag.prd.crop.xd?downloadformat=csv,yes,World Bank ,"Changing Ecosystems , War and Famine","Land Use / Land Cover,Food Security",Global ,,,,1961,2011,50,no,csv,0.146,CKAN,http://data.ecohealth.io/dataset/global-crop-production-index,
Global Cyclone Hazard Frequency and Distribution ,http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/ndh-cyclone-hazard-frequency-distribution,ftp://ftp.ciesin.columbia.edu/pub/hotspots/gdcyc.zip,yes,"SEDAC, CIESIN, Columbia University",Climate and Weather,Natural Disaster,Global,,,need to find out,1980,2000,20,yes,zip ,0.4,CKAN,http://data.ecohealth.io/dataset/global-cyclone-hazard-frequency-and-distribution,
Global Cyclone Mortality Risks and Distribution ,http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/ndh-cyclone-mortality-risks-distribution,ftp://ftp.ciesin.columbia.edu/pub/hotspots/gdcycmrt.zip,yes,"SEDAC, CIESIN, Columbia University",Climate and Weather,Natural Disaster,Global,,,need to find out,2000,2000,,yes,zip ,0.476,CKAN,http://data.ecohealth.io/dataset/global-cyclone-mortality-risks-and-distribution,
Global Cyclone Proportional Economic Risk Deciles,http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/ndh-cyclone-proportional-economic-loss-risk-deciles,ftp://ftp.ciesin.columbia.edu/pub/hotspots/gdcycpro.zip,yes,"SEDAC, CIESIN, Columbia University",Climate and Weather,Natural Disaster,Global,,,need to find out,2000,2000,,yes,zip,0.462,CKAN,http://data.ecohealth.io/dataset/global-cyclone-proportional-economic-risk-deciles,
Global Cyclone Total Economic Loss Risk ,http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/ndh-cyclone-total-economic-loss-risk-deciles,ftp://ftp.ciesin.columbia.edu/pub/hotspots/gdcycgdp.zip,yes,"SEDAC, CIESIN, Columbia University",Climate and Weather,Natural Disaster,Global,,,need to find out,2000,2000,,yes,zip,0.478,CKAN,http://data.ecohealth.io/dataset/global-cyclone-total-economic-loss-risk,
Global Documents to Export ( Number ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IC.EXP.DOCS,http://api.worldbank.org/v2/en/indicator/ic.exp.docs?downloadformat=csv,yes,World Bank ,International Travel and Commerce,Transportation / Trade,Global,,,,2005,2013,8,no,csv,0.101,CKAN,http://data.ecohealth.io/dataset/global-documents-to-export-number,
Global Documents to Import ( Number ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IC.IMP.DOCS,http://api.worldbank.org/v2/en/indicator/ic.imp.docs?downloadformat=csv,yes,World Bank ,International Travel and Commerce,Transportation / Trade,Global,,,,2005,2013,8,no,csv,0.102,CKAN,http://data.ecohealth.io/dataset/global-documents-to-import-number,
Global Domestic Credit to Private Sector ( % of GDP ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/FS.AST.PRVT.GD.ZS,http://api.worldbank.org/v2/en/indicator/fs.ast.prvt.gd.zs?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,1961,2012,51,no,csv,0.234,CKAN,http://data.ecohealth.io/dataset/global-domestic-credit-to-private-sector-of-gdp,
Global Ease of Doing Business ( 1 = most-friendly regulations ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IC.BUS.EASE.XQ,http://api.worldbank.org/v2/en/indicator/ic.bus.ease.xq?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,2012,2013,1,no,csv,0.108,CKAN,http://data.ecohealth.io/dataset/global-ease-of-doing-business-index-1-most-business-friendly-regulations,
Global Electric Power Consumption ( kWh per capita ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/EG.USE.ELEC.KH.PC,http://api.worldbank.org/v2/en/indicator/eg.use.elec.kh.pc?downloadformat=csv,yes,World Bank ,"Infrastructure , Technology and Industry",Infrastructure,Global,,,,1961,2011,50,no,csv,0.107,CKAN,http://data.ecohealth.io/dataset/global-electric-power-consumption-kwh-per-capita,
Global Energy Production ( kt of oil equivalent ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/EG.EGY.PROD.KT.OE,http://api.worldbank.org/v2/en/indicator/eg.egy.prod.kt.oe?downloadformat=csv,yes,World Bank ,Technology and Industry,Energy,Global,,,,1961,2012,52,no,csv,0.16,CKAN,http://data.ecohealth.io/dataset/global-energy-production-kt-of-oil-equivalent,
Global Energy Use ( kg of oil equivalent per capita ) ,http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/EG.USE.PCAP.KG.OE,http://api.worldbank.org/v2/en/indicator/eg.use.pcap.kg.oe?downloadformat=csv,yes,World Bank ,Technology and Industry,Energy,Global,,,,1961,2012,52,no,csv,0.204,CKAN,http://data.ecohealth.io/dataset/global-ener,
Global Energy Use ( kt of oil equivalent ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/EG.USE.COMM.KT.OE,http://api.worldbank.org/v2/en/indicator/eg.use.comm.kt.oe?downloadformat=csv,yes,World Bank ,Technology and Industry,Energy,Global,,,,1961,2012,52,no,csv,0.162,CKAN,http://data.ecohealth.io/dataset/global-energy-use-kt-of-oil-equivalent,
Global Expenses ( % of GDP ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS,http://api.worldbank.org/v2/en/indicator/gc.xpn.totl.gd.zs?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,1990,2011,21,no,csv,0.128,CKAN,http://data.ecohealth.io/dataset/global-expenses-of-gdp,
Global Fixed Broadband internet subscribers ( per 100 people ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IT.NET.BBND.P2,http://api.worldbank.org/v2/en/indicator/it.net.bbnd.p2?downloadformat=csv,yes,World Bank ,"Infrastructure , Technology and Industry",Infrastructure,Global,,,,1998,2012,14,no,csv,0.142,CKAN,http://data.ecohealth.io/dataset/global-fixed-broadband-internet-subscribers-per-100-people,
Global Flood Hazard Frequency and Distribution ,http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/ndh-flood-hazard-frequency-distribution,ftp://ftp.ciesin.columbia.edu/pub/hotspots/gdfld.zip,yes,"SEDAC, CIESIN, Columbia University","Climate and Weather , Changing Ecosystems","Natural Disaster,Flood / Drought",Global,,,need to find out,1985,2003,28,yes,zip,0.609,CKAN,http://data.ecohealth.io/dataset/global-flood-hazard-frequency-and-distribution,
Global Flood Mortality Risks and Distribution ,http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/ndh-flood-mortality-risks-distribution,ftp://ftp.ciesin.columbia.edu/pub/hotspots/gdfldmrt.zip,yes,"SEDAC, CIESIN, Columbia University","Climate and Weather , Changing Ecosystems","Natural Disaster,Flood / Drought",Global,,,need to find out,2000,2000,,yes,zip,1,CKAN,http://data.ecohealth.io/dataset/global-flood-mortality-risks-and-distribution,
Global Flood Proportional Economic Risk Deciles,http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/ndh-flood-proportional-economic-loss-risk-deciles,ftp://ftp.ciesin.columbia.edu/pub/hotspots/gdfldpro.zip,yes,"SEDAC, CIESIN, Columbia University","Climate and Weather , Changing Ecosystems","Natural Disaster,Flood / Drought",Global,,,need to find out,2000,2000,,yes,zip,0.81,CKAN,http://data.ecohealth.io/dataset/global-flood-proportional-economic-risk-deciles,
Global Flood Total Economic Risk Deciles,http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/ndh-flood-total-economic-loss-risk-deciles,ftp://ftp.ciesin.columbia.edu/pub/hotspots/gdfldgdp.zip,yes,"SEDAC, CIESIN, Columbia University","Climate and Weather , Changing Ecosystems","Natural Disaster,Flood / Drought",Global,,,need to find out,2000,2000,,yes,zip,0.941,CKAN,http://data.ecohealth.io/dataset/global-flood-total-economic-risk-deciles,
Global Forest Area ( % of land area ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/AG.LND.FRST.ZS,http://api.worldbank.org/v2/en/indicator/ag.lnd.frst.zs?downloadformat=csv,yes,World Bank ,Changing Ecosystems,"Land Use / Land Cover,Biodiversity",Global,,,,1990,2011,21,no,csv,0.172,CKAN,http://data.ecohealth.io/dataset/global-forest-area-of-land-area,
Global Forest Area ( in sq. km ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/AG.LND.FRST.K2,http://api.worldbank.org/v2/en/indicator/ag.lnd.frst.k2?downloadformat=csv,yes,World Bank ,Changing Ecosystems,"Land Use / Land Cover,Biodiversity",Global,,,,1990,2011,21,no,csv,0.122,CKAN,http://data.ecohealth.io/dataset/global-forest-area-sq-km,
Global Fossil Fuel Energy Consumption ( % of total ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/EG.USE.COMM.FO.ZS,http://api.worldbank.org/v2/en/indicator/eg.use.comm.fo.zs?downloadformat=csv,yes,World Bank ,Technology and Industry,Energy,Global,,,,1960,2012,52,no,csv,0.206,CKAN,http://data.ecohealth.io/dataset/global-fossil-fuel-energy-consumption-of-total,
Global GDP ( Current US$),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/NY.GDP.MKTP.CD,http://api.worldbank.org/v2/en/indicator/ny.gdp.mktp.cd?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,1961,2012,51,no,csv,0.24,CKAN,http://data.ecohealth.io/dataset/global-gdp-current-us,
Global GDP Growth ,http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG,http://api.worldbank.org/v2/en/indicator/ny.gdp.mktp.kd.zg?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,1961,2012,52,no,csv,0.241,CKAN,http://data.ecohealth.io/dataset/global-gdp-growth,
Global GDP per capita ( Current US$),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/NY.GDP.PCAP.CD,http://api.worldbank.org/v2/en/indicator/ny.gdp.pcap.cd?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,1961,2012,52,no,csv,0.247,CKAN,http://data.ecohealth.io/dataset/global-gdp-per-capita-current-us,
Global ICT goods exports ( % of total goods exports ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/TX.VAL.ICTG.ZS.UN,http://api.worldbank.org/v2/en/indicator/tx.val.ictg.zs.un?downloadformat=csv,yes,World Bank ,"Infrastructure , Technology and Industry",Infrastructure,Global,,,,2000,2011,11,no,csv,0.128,CKAN,http://data.ecohealth.io/dataset/global-ict-goods-exports-of-total-goods-exports,
Global ICT goods imports ( % of total goods imports ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/TM.VAL.ICTG.ZS.UN,http://api.worldbank.org/v2/en/indicator/tm.val.ictg.zs.un?downloadformat=csv,yes,World Bank ,"Infrastructure , Technology and Industry",Infrastructure,Global,,,,2000,2011,11,no,csv,0.128,CKAN,http://data.ecohealth.io/dataset/global-ict-goods-imports-of-total-goods-imports,
"Global ICT Service exports ( % of service exports, BoP )",http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/BX.GSR.CCIS.ZS,http://api.worldbank.org/v2/en/indicator/bx.gsr.ccis.zs?downloadformat=csv,yes,World Bank ,"Infrastructure , Technology and Industry",Infrastructure,Global,,,,2005,2012,7,no,csv,0.123,CKAN,http://data.ecohealth.io/dataset/global-ict-service-exports-of-service-exports-bop,
Global Informal Payments to Public Officials ( % of firms ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IC.FRM.CORR.ZS,http://api.worldbank.org/v2/en/indicator/ic.frm.corr.zs?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,2002,2010,8,no,csv,0.103,CKAN,http://data.ecohealth.io/dataset/global-informal-payments-to-public-officials-of-firms,
Global Internet Users ( per 100 people ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IT.NET.USER.P2,http://api.worldbank.org/v2/en/indicator/it.net.user.p2?downloadformat=csv,yes,World Bank ,"Infrastructure , Technology and Industry",Infrastructure,Global,,,,1990,2012,22,no,csv,154.8,CKAN,http://data.ecohealth.io/dataset/global-internet-users-per-100-people,
Global Investment in Energy with private participation ( current US$ ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IE.PPI.ENGY.CD,http://api.worldbank.org/v2/en/indicator/ie.ppi.engy.cd?downloadformat=csv,yes,World Bank ,Technology and Industry,Energy,Global,,,,1992,2012,20,no,csv,0.114,CKAN,http://data.ecohealth.io/dataset/global-investment-in-energy-with-private-participation-current-us,
Global Investment in Telecom with private participation ( current US$ ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IE.PPI.TELE.CD,http://api.worldbank.org/v2/en/indicator/ie.ppi.tele.cd?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,1990,2012,22,no,csv,0.121,CKAN,http://data.ecohealth.io/dataset/global-investment-in-telecom-with-private-participation-current-us,
Global Investment in Transport with private participation ( current US$ ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IE.PPI.TRAN.CD,http://api.worldbank.org/v2/en/indicator/ie.ppi.tran.cd?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,1990,2012,22,no,csv,0.111,CKAN,http://data.ecohealth.io/dataset/global-investment-in-transport-with-private-participation-data-current-us,
Global Investment in Water and Sanitation with Private Participation ( current US$ ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IE.PPI.WATR.CD,http://api.worldbank.org/v2/en/indicator/ie.ppi.watr.cd?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,1991,2012,21,no,csv,0.111,CKAN,http://data.ecohealth.io/dataset/global-investment-in-water-and-sanitation-with-private-participation-current-us,
Global ISO Certification Ownership ( % of firms ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IC.FRM.ISOC.ZS,http://api.worldbank.org/v2/en/indicator/ic.frm.isoc.zs?downloadformat=csv,yes,World Bank ,Economy,Economy,Global,,,,2002,2010,8,no,csv,0.101,CKAN,http://data.ecohealth.io/dataset/global-iso-certification-ownership-of-firms,
"Global Land Area ( in sq, km )",http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/AG.LND.TOTL.K2,http://api.worldbank.org/v2/en/indicator/ag.lnd.totl.k2?downloadformat=csv,yes,World Bank ,Changing Ecosystems,Land Use / Land Cover,Global,,,,1961,2011,50,no,csv,0.159,CKAN,http://data.ecohealth.io/dataset/global-land-area-in-sq-km,
Global Land under Cereal Production ( hectares ) ,http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/AG.LND.CREL.HA,http://api.worldbank.org/v2/en/indicator/ag.lnd.crel.ha?downloadformat=csv,yes,World Bank ,Changing Ecosystems,Land Use / Land Cover,Global,,,,1961,2011,50,no,csv ,0.159,CKAN,http://data.ecohealth.io/dataset/global-land-under-cereal-production-hectares,
"Global Lead Time to Export, median case ( days )",http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/LP.EXP.DURS.MD,http://api.worldbank.org/v2/en/indicator/lp.exp.durs.md?downloadformat=csv,yes,World Bank ,International Travel and Commerce,Transportation / Trade,Global,,,,2007,2012,5,no,csv,0.101,CKAN,http://data.ecohealth.io/dataset/global-lead-time-to-export-median-case-days,
"Global Lead Time to Import, median case ( days )",http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/LP.IMP.DURS.MD,http://api.worldbank.org/v2/en/indicator/lp.imp.durs.md?downloadformat=csv,yes,World Bank ,International Travel and Commerce,Transportation / Trade,Global,,,,2007,2012,5,no,csv,0.101,CKAN,http://data.ecohealth.io/dataset/global-lead-time-to-import-median-case-days,
Global Livestock Production Index ,http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/AG.PRD.LVSK.XD,http://api.worldbank.org/v2/en/indicator/ag.prd.lvsk.xd?downloadformat=csv,yes,World Bank ,"War and Famine , Changing Ecosystems","Food Security,Biodiversity",Global,,,,1961,2011,50,no,csv,0.147,CKAN,http://data.ecohealth.io/dataset/global-livestock-production-index,
Global Logistics Performance Index : Overall ( 1 = low and 5 = high ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/LP.LPI.OVRL.XQ,http://api.worldbank.org/v2/en/indicator/lp.lpi.ovrl.xq?downloadformat=csv,yes,World Bank ,International Travel and Commerce,Transportation / Trade,Global,,,,2007,2012,5,no,csv,0.106,CKAN,http://data.ecohealth.io/dataset/global-logistics-performance-index-overall-1-low-and-5-high,
Global Merchandize Trade ( % of GDP ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/TG.VAL.TOTL.GD.ZS,http://api.worldbank.org/v2/en/indicator/tg.val.totl.gd.zs?downloadformat=csv,yes,World Bank ,International Travel and Commerce,Transportation / Trade,Global,,,,1961,2012,51,no,csv,0.243,CKAN,http://data.ecohealth.io/dataset/global-merchandize-trade-of-gdp,
Global Mobile Cellular Subscriptions ( per 100 people ),http://data.worldbank.org/indicator,http://data.worldbank.org/indicator/IT.CEL.SETS.P2,http://api.worldbank.org/v2/en/indicator/it.cel.sets.p2?downloadformat=csv,yes,World Bank ,"Infrastructure , Technology and Industry",Infrastructure,Global,,,,1965,2012,47,no,csv,0.184,CKAN,http://data.ecohealth.io/dataset/global-mobile-cellular-subscriptions-per-100-people,
Global Multihazard Frequency and Distribution ,http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/ndh-multihazard-frequency-distribution,ftp://ftp.ciesin.columbia.edu/pub/hotspots/gdmhz.zip,yes,"SEDAC, CIESIN, Columbia University","Climate and Weather , Changing Ecosystems","Natural Disaster,Flood / Drought",Global,,,need to find out,2000,2000,,yes,zip,1.3,CKAN,http://data.ecohealth.io/dataset/global-multihazard-frequency-and-distribution,
